Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2532649,.371537348,6.48,748805,107970,856775
2,3142928,.364243607,8.20,1492585,118095,1610680
3,3167216,.372816116,8.10,1937424,118769,2056193
4,3167983,.226750495,13.31,2300700,119259,2419959
5,3183711,.282099009,10.74,2638552,119757,2758309
6,2784073,.308222696,8.59,3111811,112644,3224455
7,2787160,.173873859,15.24,3308167,112878,3421045
8,3197956,.344059456,8.83,3683063,120627,3803690
9,3382358,.291147504,11.05,4243666,123493,4367159
10,3404072,.291036980,11.13,4688882,123898,4812780
11,3224021,.297606846,10.31,5056865,121598,5178463
12,3233356,.295886627,10.40,5445610,121914,5567524
13,3236663,.214107930,14.38,5572661,122238,5694899
14,3294796,.289928523,10.83,5987925,122802,6110727
15,3295068,.199203038,15.76,6122495,123038,6245533
16,3302334,.204267161,15.37,6495734,123362,6619096
17,3294749,.203754995,15.41,6790869,123598,6914467
18,3300186,.272889417,11.50,7075085,123994,7199079
19,3392266,.211158096,15.29,7439125,126022,7565147
20,3843754,.566451727,6.46,8595264,131327,8726591
21,3397020,.291702313,11.07,8976894,126574,9103468
22,3453396,.249996179,13.16,9392433,126986,9519419
23,3470840,.257958158,12.83,9819311,127398,9946709
24,3518664,.250834287,13.35,10267082,127970,10395052
25,3525648,.292438357,11.48,10762259,128374,10890633
26,3575277,.364241067,9.33,11384492,129290,11513782
27,3574473,.232737441,14.60,11760666,129526,11890192
28,3865717,.313913820,11.72,12253216,133719,12386935
29,3968673,.383821425,9.84,13068352,134955,13203307
30,1503895,.239842186,5.96,13444141,95710,13539851
31,1992552,.385817046,4.92,13945136,110083,14055219
32,2532649,.222224439,10.84,13946447,115271,14061718
33,3197956,.222319522,13.67,13947758,126526,14074284
34,3392266,.214458445,15.06,13949070,129562,14078632
35,3865717,.209706226,17.54,13950381,135371,14085752
36,1721621,.326498137,5.02,14438982,107455,14546437
37,1213331,.181004050,6.35,14638010,93793,14731803
38,1725648,.227412150,7.21,14864384,107751,14972135
39,2038112,.199412148,9.72,15110761,113579,15224340
40,2789653,.267454505,9.94,15239996,120751,15360747
41,3301781,.281503891,11.15,15375352,129422,15504774
42,3576601,.368141682,9.26,15661343,133066,15794409
43,1992652,.246686436,7.70,15946747,108683,16055430
44,1563869,.198531874,7.50,16144820,101302,16246122
45,1581556,.206054001,7.27,16310669,102410,16413079
46,6155970,.797476499,7.36,18354361,192045,18546406
47,1289577,.240050767,5.08,18640214,94226,18734440
48,1192592,.173170546,6.52,18896610,93038,18989648
49,1217769,.167545118,6.92,19060934,99841,19160775
50,1531623,.195480995,7.46,19258967,101270,19360237
51,1224559,.199143703,5.82,19388042,100233,19488275
52,1205007,.159754684,7.13,19474007,87408,19561415
53,4365323,.481883409,8.63,20589871,136369,20726240
54,4031337,.347170961,11.06,25547975,129731,25677706
55,4090535,.396056853,9.84,6931224,130730,7061954
56,4418417,.651361673,6.46,8036402,138288,8174690
57,6229166,.765167984,7.76,9778922,178146,9957068
58,6254372,.213048962,27.97,10022988,178734,10201722
59,4455956,.422774731,10.02,10508179,139508,10647687
60,5140197,.573201814,8.54,11790677,155069,11945746
61,5145432,.251528056,19.48,12150887,155305,12306192
62,4928187,.287711175,16.30,12771549,156994,12928543
63,4932535,.242428674,19.38,13100716,157238,13257954
64,4974578,.255032790,18.58,13442042,158586,13600628
65,4977919,.242966008,19.50,13694549,158734,13853283
66,4980576,.234089640,20.24,13847325,159058,14006383
67,4981037,.235010886,20.21,13891805,159294,14051099
68,6260836,.318706203,18.73,14227961,181262,14409223
69,6390362,.767603375,7.93,16069145,184011,16253156
70,6313586,.478127330,12.59,16747055,182710,16929765
71,6318595,.217939951,27.62,16887541,182975,17070516
72,6347171,.726183730,8.33,18294395,184259,18478654
73,6341402,.387843049,15.57,19058711,183783,19242494
74,6347055,.287279041,21.05,19507148,184275,19691423
75,6359818,.269895215,22.45,19919845,184847,20104692
76,6391647,.237424774,25.65,20214000,185387,20399387
77,6391642,.313224696,19.44,20306094,185899,20491993
78,6538345,.906183207,6.87,22495037,190619,22685656
79,6401540,.455335320,13.39,23329971,187123,23517094
80,6404317,.297685996,20.49,23664264,187239,23851503
81,6434296,.303127147,20.22,24076727,187835,24264562
82,6435221,.264123063,23.20,24425391,188071,24613462
83,6434662,.294645353,20.80,24828591,188483,25017074
84,6436136,.226764518,27.03,24932795,188719,25121514
85,6444754,.220103920,27.89,25142431,189411,25331842
86,6549675,.223309240,27.94,25351460,193283,25544743
87,6556548,.264158231,23.66,25712208,193551,25905759
88,6575834,.874910882,7.16,27799142,194611,27993753
89,6642067,.887210466,7.13,30012694,194919,30207613
90,6661426,.881402200,7.20,32236085,195686,32431771
91,6901603,.919404246,7.15,34566324,198274,34764598
92,6663011,.369060393,17.20,34942690,196238,35138928
93,6670050,.947276488,6.71,37154258,196658,37350916
94,6815532,.357690973,18.14,37851383,197630,38049013
95,6843458,.954416822,6.83,40097804,198202,40296006
96,6848945,.278076547,23.48,40561469,198438,40759907
97,6925867,.941155886,7.01,42829106,199690,43028796
98,6936541,.435979215,15.16,43834977,200030,44035007
99,6944582,.242969952,27.24,44120494,200346,44320840
100,4959238,.396238031,11.91,44704872,167335,44872207
1,2532649,.649996602,3.70,748805,107970,856775
2,3142928,.517244183,5.78,1492585,118095,1610680
3,3167216,.306460718,9.85,1937424,118769,2056193
4,3167983,.226495882,13.33,2300700,119259,2419959
5,3183711,.240180554,12.61,2638552,119757,2758309
6,2784073,.277921826,9.53,3111811,112644,3224455
7,2787160,.183088808,14.47,3308167,112878,3421045
8,3197956,.320564855,9.48,3683063,120627,3803690
9,3382358,.289943926,11.10,4243666,123493,4367159
10,3404072,.256582651,12.62,4688882,123898,4812780
11,3224021,.255416537,12.01,5056865,121598,5178463
12,3233356,.252361386,12.20,5445610,121914,5567524
13,3236663,.173987696,17.70,5572661,122238,5694899
14,3294796,.299119634,10.49,5987925,122802,6110727
15,3295068,.177701054,17.67,6122495,123038,6245533
16,3302334,.257129027,12.21,6495734,123362,6619096
17,3294749,.237399799,13.22,6790869,123598,6914467
18,3300186,.212630956,14.76,7075085,123994,7199079
19,3392266,.247194675,13.06,7439125,126022,7565147
